WT sseJ sseL slrP ssaV_new srfJ steC sspH2 sseI steB spvD_new sseG sseF sifB pipB2 steA sifA gtgE steE spvB gogB sseK1 gtgA sopD2 pipB
60 0 48 3 5 0 56 6 59633 6 16 13 0 4 0 0 25 0 0 0 1 75 1 0 0 0
61 0 38 8 7 1 30 8 10 5 13 12 0 8 0 0 15 1 0 0 0 249957 0 0 0 0
62 0 31 5 3 1 25 6 4 3 37766 15 0 3 0 0 61 0 2 0 0 34 0 0 0 1
63 0 47 11 2 0 42 16 15 4 19 16 0 5 0 0 19 0 0 0 1 59 1 0 0 0
64 0 26 3 3 0 32 7 11 4 7 9 0 11 0 0 21 0 0 0 0 38 1 0 0 0
65 0 57 11 6 3 55 10 19 9 9 22 0 17 0 0 42 1 1 0 1 74 1 1 0 0
66 0 40 19 4 1 88 5 17 5 17 15 0 11 0 0 36 0 0 1 0 123 0 0 0 0
67 0 171 8 7 0 43 10 9 10 9 23 0 6 0 0 22 0 0 0 0 97 1 267 0 0
68 0 35 4 0 1 26 6 14 9 9 7 0 8 0 0 21 0 0 0 0 35 0 1 0 0
69 0 41 8 4 0 38 14 7 7 7 13 0 7 0 0 22 0 0 0 0 61 0 0 0 0
70 0 57 5 6 1 48 3 20 12 12 18 0 14 0 0 41 0 0 0 1 65 0 2 0 0
71 0 44 3 3 0 43 5 14 14 16 28 0 8 0 0 95 0 0 0 0 61 0 0 0 0
72 0 31 3 1 0 30 6 20 4 7 13 0 6 0 0 37 0 0 0 431 33 1 0 0 0
73 0 23 3 4 0 34 6 14 2 8 10 0 20 0 0 18 0 3 0 1 41 0 0 0 0
74 0 41 6 2 1 52 8 6 6 14 11 0 9 0 0 58 0 0 0 0 42 0 1 0 0
75 0 34 9 8 2 36 6 14 12 5 20 0 14 0 0 30111 0 0 0 1 58 1 0 0 0
76 0 64 14 5 1 60 9 22 12 17 23 0 14 0 0 46 0 0 0 0 80 0 0 0 0
77 0 38 6 1 1 36 9 6 2 7 4 0 17 0 0 22 0 0 0 0 60 1 0 0 0
78 0 78 6 3 0 23 8 16 8 7 14 0 6 0 0 18 0 0 0 0 51 0 1 0 0
79 0 35 5 2 3 33 14 20 5 11 12 0 8 0 0 22 0 0 0 2 78 0 0 0 0
80 0 62 4 6 2 36 12 11 9 10 33 0 9 0 0 20 0 0 0 0 58 0 0 0 0
81 0 99727 5 5 0 46 6 30 9 13 15 0 15 0 0 26 0 1 0 0 83 0 0 0 0
