WT sseJ sseL slrP ssaV_new srfJ steC sspH2 sseI steB spvD_new sseG sseF sifB pipB2 steA sifA gtgE steE spvB gogB sseK1 gtgA sopD2 pipB
2112 2 0 1 0 0 1 0 0 0 2 383 2 0 0 1 1 0 0 0 0 0 0 0 0 0
2210 4 0 128 1 0 2 0 0 0 5 0 0 0 0 1257 6 2 0 0 0 0 0 2 0 10488
238 1 0 5 1 0 1 0 0 0 4 0 0 0 0 0 42 0 0 0 0 1 0 2 0 1
248 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 5 0 0 0 0 1 0 0 0 0
258 0 0 5 0 0 0 0 0 0 4 0 1 0 0 0 4 0 0 0 0 0 0 2 0 0
268 1 0 2 0 0 2 0 0 0 1 0 0 1 0 0 3 1 0 0 0 0 0 0 0 1
278 0 0 6 0 0 1 0 0 0 3 2190 1 1 0 0 4 0 0 0 0 1 0 2 0 1
288 2 0 2 0 1 3 0 0 0 2 0 0 1 0 0 5 0 0 0 0 0 0 0 0 1
298 1 0 4 0 0 31 0 0 0 7 0 0 0 0 0 8 1 0 0 0 0 0 3 0 0
308 2 0 14211 0 0 3 0 0 0 4 0 0 1 0 0 6 0 0 0 0 1 0 2 0 2
3112 1 0 10 0 0 4 0 0 0 6 0 0 1 0 0 4 1 0 0 0 0 0 1 0 16705
3210 0 0 8 0 0 1 0 0 0 14 1 0 1 0 1 3 0 0 0 0 0 0 0 0 0
338 1 0 5 0 0 0 0 0 0 3 0 0 0 0 0 2 0 0 0 0 1 0 2 0 2
348 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
358 0 0 5 0 0 1 0 0 0 8 0 1 1 0 0 5 1 0 0 0 1 0 1 0 2
368 0 0 4 0 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0
378 1 0 4 0 0 1 0 0 0 4 0 0 1 0 0 3 0 0 0 0 0 0 1 0 0
388 0 0 2 0 0 1 0 0 0 2 0 0 1 0 0 5 0 0 0 0 0 0 2 0 3
398 0 0 6 0 0 4 0 0 0 3 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
408 0 0 2 0 0 2 0 0 0 7 0 0 0 0 0 3 0 0 0 0 0 0 1 0 2
4112 2 0 8 0 0 0 0 0 2 496059 0 1 9 1 0 6 1 0 0 1 2 0 1 0 2
4210 1 0 7 0 0 0 0 1 0 6 0 0 0 0 0 5 0 0 0 0 0 0 2 0 0
438 0 0 2 0 0 1 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
448 1 0 6 0 0 1 0 0 0 3 0 1 10 0 0 3 0 0 0 0 0 0 1 0 1
458 0 0 4 0 0 1 0 0 0 3 0 0 1 0 0 3 1 0 0 53 0 0 1 0 1
468 0 0 3 0 0 115 0 0 0 3 0 5 0 0 0 2 0 0 0 0 0 0 2 0 1
478 1 0 6 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
488 1 0 4 0 0 1 0 0 0 11037 0 1 0 0 0 6 0 0 0 0 0 0 2 0 2
498 1 0 4 0 0 1 0 0 0 10 0 1 2 0 0 5 0 0 351 0 3 0 0 0 0
508 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5112 1 0 11 0 0 11 0 0 0 3 0 1 3 106 0 9 0 0 0 0 2 0 0 0 1
5210 2 0 2 0 0 135572 0 0 0 6 0 0 2 0 0 3 0 0 0 0 0 0 0 0 1
538 3 0 4 0 647 3 0 0 0 4 0 0 0 0 0 7 0 0 0 0 0 0 1 0 2
548 2 0 5 0 0 1 0 0 0 13 0 3 1 0 1 2 0 0 0 0 1 0 0 0 0
558 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
568 1 0 1 0 0 0 0 0 0 5 0 0 2 0 0 1 0 0 0 0 1 0 2 0 0
578 0 0 5 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
588 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1
598 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
608 1 0 2 0 0 4 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 5 0 0
6112 1 0 2 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0
6210 0 0 5 0 0 5 0 0 0 5 0 0 2 0 1 7 0 0 0 0 0 0 0 0 5
638 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
648 25017 0 130062 0 0 3 0 1 0 5 0 0 1 0 0 7 5114 0 0 0 1 0 0 0 1
658 0 0 2 0 0 0 0 0 0 1 0 1 2 0 0 5 0 0 0 0 2 0 2 0 0
668 2 0 3 0 0 0 0 0 0 5556 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0
678 1 0 2 0 0 1 0 0 0 4 0 0 0 200 0 8 0 0 0 0 0 0 3 0 1
688 17396 0 1 1 0 2 1 0 0 8 0 0 1 1 0 250412 0 0 0 3 0 0 3 0 2
698 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0
708 0 0 6 0 0 1 0 0 0 3 0 0 1 0 0 2 0 0 0 0 0 0 0 0 2
7112 1 0 7 0 0 3 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0
7210 0 0 4 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1
738 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0
748 1 0 0 0 0 5 0 0 0 4 0 0 1 0 0 3 0 0 214 0 0 0 1 0 0
758 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 4 1 0 0 0 0 0 0 0 0
768 5 3 112 8 7 7 6 12 4 12 0 1 20 2 0 23 1 0 5 12 4 0 8 3 8
778 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 3 0 0 0 0 0 0 3 0 0
788 0 0 4 0 0 1 1 0 0 5 1 0 191023 0 2 8 0 0 0 0 0 0 1 0 1
798 1 0 3 0 0 0 0 0 0 4 0 0 1 188 0 1 0 0 0 0 0 0 1 0 1
808 1 0 3 1 33 1 0 0 0 2 0 1 1 0 0 7 0 0 0 0 1 0 2 0 0
8112 1 0 4 0 0 0 0 0 0 95 0 0 0 0 0 4 0 0 0 0 0 0 1 0 3
8210 2 0 0 0 0 0 0 0 0 4 0 0 0 0 0 6 0 0 0 0 1 0 0 0 1
838 1 0 3 0 0 3 0 0 0 5 0 0 1 1 0 3 0 0 0 0 0 0 31 0 0
848 2 0 2 0 0 1 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
858 0 0 3 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
868 1 0 5 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
878 0 0 115 0 0 1 0 0 0 5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
888 1 0 1 0 0 1 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2
898 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
908 1 0 4 0 0 1 0 0 0 5 0 0 2 0 0 5 0 0 0 0 0 0 0 0 0
9111 1 0 2 0 0 1 0 0 0 5 0 1 0 0 0 1 1 0 0 0 0 0 2 0 0
928 1 0 2 0 0 1 0 0 0 3 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1
938 1 0 6 0 0 0 0 0 0 4 0 0 3 0 0 5 0 0 0 1 1 0 1 0 0
948 0 0 2 0 0 1 0 1 0 5 0 0 0 60 0 6281 0 0 0 0 1 0 3 0 1
958 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
968 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0
130 0 0 1 7 0 1 6 0 0 0 1 0 0 7 0 7 0 0 0 3 0 0 0 0 2
230 3 0 1 5 0 2 9 0 0 0 0 0 0 2 0 4 0 0 0 6 0 0 0 0 3
330 2 4 3 13 0 1 10 0 0 0 2 0 0 10 0 4 0 0 1 5 0 0 0 1 5
430 2 3 1 3 0 2 7 0 0 0 1 0 0 4 0 3 0 0 0 2 0 0 0 0 1
530 0 1 0 5 0 1 8 0 0 0 1 0 0 8 0 4 0 0 0 6 0 0 0 1 1
630 4 2 1 8 0 4 2 0 0 0 1 1 0 8 0 2 0 0 0 3 0 0 0 0 3
730 0 0 1 4 0 0 5 0 0 0 0 0 0 4 2 1 0 0 0 4 0 0 0 1 3
830 0 1 3 3 0 3 9 0 0 0 1 0 0 4 0 1 0 0 0 4 0 0 0 0 0
929 2 5 2 19 0 6 25 0 0 0 3 0 0 10 1 3 0 0 0 14 112 0 0 0 9
109 1 1 0 2 0 0 5 0 305 0 0 0 0 2 0 8 0 0 0 3 0 0 0 0 3
1113 0 8 2 8 0 3 19 0 0 0 0 0 0 13 0 4 0 0 0 3 0 0 0 0 7
1211 2 2 1 10 0 0 5 0 0 0 2 0 0 3 0 5 0 0 0 3 0 0 0 0 5
139 112 2 1 8 0 0 11 0 0 0 1 2694 0 8 0 3 0 0 0 3 0 0 0 0 0
149 4 0 1 5 0 2 6 0 0 0 0 0 0 7 0 4 0 0 0 2 0 0 0 0 4
159 3 2 2 7 0 4 17 0 0 0 4 0 0 3 0 2 0 0 0 7 0 0 0 0 3
169 4 3 2 5 0 1 12 0 0 0 1 0 0 109307 0 5 0 0 0 5 0 0 0 0 3
179 2 1 3 20 0 5 14 0 0 0 0 0 0 8 0 4 0 0 0 3 0 0 0 1 4
189 3 7 2 5 0 1 21 0 0 0 3 2 0 14 0 1 0 0 0 4 0 0 0 0 4
199 4 4 4 14 0 2 37 0 0 0 0 0 0 16 0 5 0 0 0 11 0 0 0 0 7
209 10573 3 1 2 0 0 11 0 0 0 1 0 0 11 0 4 0 0 0 5 0 0 0 0 3
2113 1 0 1 222 0 1 1 0 0 0 1 0 0 5 0 5 0 0 0 8 0 0 0 0 2
2211 1 6 0 7 0 4 20 9 2 0 4 4 2 11 0 7 2 0 0 5 1 0 0 0 4
239 0 5 0 10 0 4 11 0 0 0 0 0 0 2 0 2 0 0 0 2 0 0 0 0 2
249 1 4 2 1 0 0 5 0 0 0 0 0 0 9 0 5 0 0 0 8007 0 0 0 0 4
259 0 2 0 2 0 2 4 0 0 0 1 1 0 5 0 5 0 0 0 9 0 0 0 0 3
269 1 1 2450 7 0 767 5 0 0 0 3 0 0 3 0 2 0 0 0 3 0 0 0 0 1
279 3 9 5 14 0 4 29 0 0 0 5 0 0 22 0 7 0 0 0 5 1 0 0 0 1
289 1 3 1 0 0 4 13 0 0 0 1 1 0 13 2 4 0 0 0 4 0 0 0 0 2
299 1 5 3 14 0 0 19 0 0 0 11 1 0 11 0 5 0 0 0 3 0 0 0 0 8
309 2 7 1 5 0 1 15 0 0 0 1 0 0 10 0 6 0 0 0 6 0 0 0 0 3
3113 3 3 0 122642 0 2 24 0 0 0 0 0 0 7 0 4 0 0 0 3 0 0 0 0 3
3211 2 3 5 9 0 0 20 0 0 0 0 0 0 10 0 8 0 0 0 6 0 0 0 0 3
339 4 6 2 8 0 3 7 1 0 0 1 0 0 13 0 3 0 0 0 3 0 0 0 0 4
349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
359 1 2 1 5 0 1 7 0 0 0 1 1 0 10 0 2 0 0 0 2 0 0 0 0 3
369 0 2 2 8 0 1 7 0 0 0 1 0 0 7 0 1 0 0 0 3 0 0 0 0 2
379 4 10 1 23 0 1 17 0 0 0 1 0 0 6 0 2 0 0 0 13 0 0 0 1 4
389 2 3 3 12 0 3 16 0 0 0 1 0 0 10 0 10 0 0 0 7 0 0 0 0 26104
399 2 2 1 8 0 2 19 0 0 0 0 1 0 5 0 2 0 0 0 8 0 0 0 0 2
409 2 4 3 11 0 3 217484 0 0 0 1 0 0 15 0 5 0 0 0 7 0 0 0 0 5
4113 1 2 5 13 0 1 15 0 0 0 1 0 0 12 0 8 0 0 0 3 0 0 1 0 6
4211 1 1 1 10 1 2 16 0 0 0 1 0 0 9 0 4 0 0 0 5 0 0 0 0 4
439 1 2 1 5 0 5 15 0 0 0 2 0 0 13 0 4 0 0 0 6 0 0 0 0 4
449 1 3 1 12 0 2 12 0 0 0 4 0 0 8 0 1 0 0 0 1 0 0 0 0 1
459 0 2 0 0 0 2 10 0 0 0 1 0 0 5 1 3 0 0 0 4 0 0 0 0 3
469 2 2 1 12 0 4 20 2 0 0 4 1 0 11 0 3 1 0 0 215392 0 0 0 1 1
479 1 0 1 5 0 3 10 0 0 0 0 0 0 7 0 5 0 0 0 6 0 0 0 0 1
489 1 4 4 8 0 0 22 0 0 0 4 0 0 10 0 3 0 0 0 6 0 0 0 0 1
499 0 3 10623 2 0 2 7 0 0 0 2 0 0 7 0 3 0 0 0 5 0 0 0 0 1
509 1 1 9652 6 0 0 16 0 0 0 2 0 0 4 0 3 1 0 0 2 0 0 0 1 0
5113 0 2 2 8 0 4 10 0 0 0 0 0 0 22 1 7 0 0 0 8 0 0 0 0 5
5211 1 1 1 9 0 5 18 0 0 0 1 0 0 9 0 5 0 0 0 1 0 0 0 0 0
539 3 6 3 29 0 2 39 0 0 0 2 0 0 22 0 9 0 0 0 10 0 0 0 0 8
549 0 1 2 4 0 1 6 0 0 0 1 0 0 7 0 2 0 0 0 3 0 0 0 0 1
559 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
569 1 3 0 3 0 1 10 0 0 0 2 0 0 10 0 3 0 0 0 2 0 0 0 0 0
579 1 0 2 1 0 2 3 0 0 0 2 0 0 1 1 0 0 0 0 1 0 0 0 0 1
589 1 0 0 7 0 2 12 0 0 0 2 1 0 3 0 2 0 0 0 5 0 0 0 0 108323
599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
609 5 2 0 3 0 2 10 0 0 0 2 0 0 4 0 2 0 0 0 6 0 0 0 0 2
6113 3 2 1 6 0 0 23 0 0 0 0 0 0 7 0 2 0 0 0 4 0 0 0 0 2328
6211 2 1 1 315 0 0 10 0 0 0 1 0 0 10 0 2 0 0 0 7 0 0 0 1 1
639 1 3 1 2 0 3 13 0 0 0 1 0 0 11 0 3 0 0 0 3 0 0 0 0 0
649 1 2 0 4 0 0 11 0 0 0 3 0 0 20 0 6 0 0 0 403 0 0 0 0 1
659 1 4 0 53 0 25 10 0 0 0 0 0 0 8 0 5 0 0 0 2 0 0 0 0 4
669 0 3 5 8 0 3 13 0 0 0 3 0 0 7 0 3 0 0 0 7 0 0 0 0 3
679 3 68552 0 7 0 1 8 1 0 0 17192 0 0 31 1 177230 0 0 0 7 0 0 0 0 2
689 1 1 0 9 0 0 7 0 0 0 1 0 0 8 0 5 0 0 0 1 0 0 0 0 0
699 0 1 1 7 0 0 3 0 0 0 2 0 0 6 0 5 0 0 0 5 0 0 0 0 2
709 2 0 3 2 0 1 11 0 0 0 1 0 0 7 0 5 0 0 0 1 0 0 0 0 0
7113 2 1 1 1 0 1 19 0 0 0 2 1 0 10 0 6 0 0 0 3 0 0 0 0 2
7211 2 2 0 6 0 2 14 1 0 0 0 0 0 70168 0 1 0 0 0 5 0 0 0 0 1
739 1 2 1 6 0 4 12 0 0 0 4 0 0 5 0 3 0 0 0 2 0 0 0 0 0
749 2 0 2 8 0 2 14 0 0 0 0 0 1 8 1852 2 0 0 0 12 0 0 0 0 2
759 0 1 0 6 0 144131 5 0 0 2 1 1 0 2 0 1 0 0 0 3 0 0 0 0 3
769 2 3 5 8 0 1 12 0 0 0 1 0 0 8 0 7 0 0 3 6 0 0 0 0 5
779 1 1 2 8 0 0 6 0 0 0 4 0 0 6 0 1 0 0 0 5 0 0 0 0 6
789 1 4 2 9 0 1 16 0 0 0 3 0 0 5 0 3 0 0 0 2 1 0 141 0 5
799 1 4 1 10 0 2 8 0 0 0 1 0 0 6 0 1 0 0 0 57 0 0 0 0 1
809 3 0 0 2 0 1 12 0 0 0 1 0 0 8 0 4 0 0 0 1 0 0 0 0 1
8113 0 2 0 3 0 2 13 0 0 0 1 0 0 10 0 8 0 0 0 4 0 0 0 0 6
8211 2 1 1 5 0 9576 5 0 0 0 0 1 0 7 0 4 0 0 0 1 0 0 0 0 2
839 2 3 0 2 0 1 17 0 0 0 3 0 0 8 0 2 0 0 0 1 0 0 0 0 4
849 0 2 2 6 0 3 6 0 0 0 0 0 0 24 0 1 0 0 0 4 0 0 0 0 0
859 0 0 0 1 0 0 9 0 0 0 0 0 0 5 0 0 0 0 0 3 0 0 0 0 0
869 0 0 0 1 0 2 8 1 0 0 10003 0 0 8 0 3 0 0 0 7 0 0 0 0 2
879 3 1 1 11 0 2 5 0 0 0 0 0 0 6 0 6 0 0 0 5 1 0 0 0 6
889 9062 1 0 5 0 1 5 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 2
899 0 0 0 12 0 0 5 0 0 0 0 0 0 1 0 1 0 0 0 3 0 0 0 0 1
909 0 7 2 3 0 0 8 0 0 0 0 0 0 27 1 0 0 0 0 7 0 0 0 161 1
9112 0 0 0 1 0 3 11 0 0 0 1 0 0 1 0 4 0 0 0 2 0 0 0 0 0
9210 0 2 0 4 0 1 9 0 0 0 2 0 0 8 0 3 0 0 0 2 0 0 0 0 0
939 2 3 2 4 0 4 10 1 0 0 0 0 0 14 0 5 0 0 0 96974 0 0 0 0 0
949 3 4 0 8 0 1 11 0 0 0 1 0 0 3 0 0 0 0 0 6 1 0 0 0 1
959 1 1 0 0 0 0 4 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0
969 0 2 1 2 0 1 3 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0
140 1 0 5 8 0 0 3 0 0 0 0 0 0 0 3 1 11 0 0 0 6 0 2 0 0
240 1 0 1 3 0 1 3 0 0 0 0 0 0 0 4 0 11 0 0 0 5 0 0 0 0
340 0 0 5 3 0 0 3 0 0 0 0 0 0 0 5 0 13 0 0 0 5 1 5 0 0
440 1 0 5 156039 0 1 0 0 0 0 0 0 0 0 6 0 21 1 0 0 5 0 2 0 0
540 0 0 1 3 1 8424 1 0 0 0 0 0 0 0 1 0 13 1 0 0 1 0 2 0 0
640 1 0 3 7 0 0 8796 0 0 0 0 1 1 0 2 0 7 1 0 0 4 0 3 0 0
740 1 0 1 3 0 0 1 0 0 0 0 0 10 0 1 0 5 0 0 0 1 0 1 1 0
840 0 0 8 4 2 1 0 0 0 0 0 0 1 0 7 0 23 1 0 0 2 0 1 0 0
930 2 0 7 8 2 1 2 0 0 0 0 1 1 0 6 0 36 1 0 0 2 0 5 0 0
1010 0 0 6 4 1 0 2 0 0 0 0 0 0 0 0 0 12 1 0 0 5 0 1 0 1
1114 2 0 3 16 0 2 2 0 0 0 0 0 0 0 8 0 17 0 0 0 11 0 4 0 1
1212 0 0 13 2 0 0 2 0 0 0 0 1 0 0 2 0 6 0 0 0 2 0 1 0 0
1310 2 0 3 6 0 1 1 0 0 1 0 0 1 0 2 0 18 1 0 0 1 0 0 0 1
1410 0 0 0 3 0 1 3 0 0 1 0 0 0 0 4 0 21 1 0 0 2 0 3 0 0
1510 0 0 3 4 1 0 1 0 0 1 0 0 0 0 2 0 15 0 0 0 6 0 3 0 0
1610 1 0 5 6 0 0 4 0 0 0 0 1 0 0 5 0 14 2 0 0 2 0 2 0 0
1710 1 0 8 3 0 1 5 0 0 0 0 0 0 134 8 0 41 0 0 0 6 0 5 0 1
1810 1 0 11 10 1 0 11 0 0 0 0 0 1 0 1 0 35 0 0 0 7 0 3 0 0
1910 1 0 10 6 0 0 5 0 0 1 0 1 1 0 4 0 28 2 0 0 12 0 3 1 1
2010 1 0 3 7 1 0 2 0 0 0 0 0 0 0 4 0 122 1 0 0 1 0 0 0 0
2114 0 0 0 3 0 0 0 0 0 0 0 0 0 0 2 0 20 0 0 0 2 0 2 0 5
2212 0 0 5 6 0 0 0 0 1 0 0 0 0 0 1 0 11 1 0 0 6 0 5 0 0
2310 1 0 1 4 0 0 2 0 0 2 0 0 0 2 1 0 18 0 0 0 1 0 4 0 0
2410 0 0 3 7 0 0 1 0 0 0 0 0 0 0 3 0 15 0 0 0 3 0 0 0 0
2510 1 0 4 3 0 0 0 0 0 0 0 0 0 0 4 0 18 0 0 0 3 0 0 0 0
2610 0 0 5 4 1 0 61680 0 1 1 0 0 0 0 3 1 13 1 0 0 5 0 1 0 0
2710 1 0 6 18 1 0 6 0 0 0 0 0 0 0 8 0 43 0 0 0 6 0 5 0 2
2810 2 0 19 6 1 0 3 0 0 0 0 0 0 0 2 0 16 1 0 0 3 0 2 0 0
2910 0 0 5 1 1 0 2 0 0 0 0 0 0 0 3 0 13 1 0 0 1 0 1 0 0
3010 3 0 6 6 3 0 4 0 0 1 1 0 3 0 10 0 34 2 0 0 8 0 4 0 1
3114 2 0 6 7 4 0 0 0 0 0 0 0 0 0 5 0 31 0 0 0 5 0 3 0 0
3212 0 0 5 11 0 0 2 0 0 0 0 1 1 0 3 0 19 1 0 0 7 0 4 34 0
3310 0 0 5 7 0 0 4 0 0 1 0 1 1 0 3 0 10 0 0 0 2 0 6 0 0
3410 0 0 4 6 4 0 0 0 0 1 0 0 0 0 1 0 22 0 0 0 4425 0 4 0 0
3510 0 0 4 6 1 1 2 0 0 0 0 0 0 0 148 0 15 0 0 0 1 0 3 0 0
3610 0 0 1 5 0 2 1 0 0 8107 0 0 1 0 5 0 17 0 0 0 4 0 2 0 0
3710 0 0 1 6 0 1 4 0 0 2 0 1 0 0 2 0 17 0 0 0 4 0 1 0 0
3810 1 0 3 8 1 0 5 0 0 0 0 0 1 0 6 0 24 2 0 0 3 0 18604 0 2
3910 1 0 3690 3 0 0 4 0 0 1 0 1 0 0 5 0 19 0 0 0 2 0 2 0 0
4010 0 0 12 14 0 0 14 0 0 0 0 0 0 0 11 0 35 0 0 0 8 0 5 840 0
4114 1 0 7 10 2 1 4 0 0 1 0 0 1 0 4 0 20 3 0 0 7 0 3 0 0
4212 0 0 5 14 1 0 5 0 0 1 0 0 53 0 14 0 188 1 0 0 9 0 2 0 0
4310 0 0 5 5 1 1 0 0 0 0 0 0 0 0 2 0 12 1 0 0 3 0 1 0 1
4410 1 0 3 7 0 4 1 0 0 0 0 0 0 0 2 0 16 0 0 0 5 0 3 0 0
4510 0 0 4 2 0 0 2 0 0 0 0 0 0 0 6 0 15 0 0 0 4 0 3 0 0
4610 0 0 1 3 0 1 0 0 0 1 0 1 1 0 3 0 32 0 0 0 4 0 3 0 0
4710 1 0 3 5 3 0 1 0 0 2 0 0 0 1 3 0 24 0 0 0 80012 0 1 0 0
4810 0 0 4 5 1 0 2 0 0 0 0 0 0 0 2 0 20 0 0 0 8 0 7 0 0
4910 1 0 8 9 0 1 7 0 0 0 0 2 0 0 7 0 32 0 0 0 7 0 4 0 1
5010 1 0 2 3 0 1 3 0 0 0 0 1 0 0 4 0 15 0 0 0 6 0 4 0 0
5114 1 0 18 16 2 0 3 0 1 0 0 0 0 0 3 0 28 2 0 0 8 0 4 0 0
5212 15290 0 8 3 1 0 1 0 0 0 95 0 0 0 2 0 11 0 0 0 5 0 1 0 0
5310 1 0 9 16 2 0 2 0 0 1 0 2 1 0 6 0 48 0 0 0 8 0 4 0 1
5410 0 0 100277 5 1 0 3 0 6166 0 0 0 0 0 4 0 17 0 0 0 2 0 2 0 1
5510 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5610 0 0 3 9 0 0 1 0 0 0 0 1 0 0 2 0 7 0 0 0 2 1 1 0 0
5710 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 4 1 0 0 0 0 3 0 0
5810 1 0 3 5 1 0 1 10 0 0 0 0 0 0 3 0 12 0 0 0 2 0 1 0 0
5910 1 0 0 0 0 0 1 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
6010 1 0 2 0 0 1 0 0 0 0 0 1 0 0 1 0 2 0 0 0 2 0 2 0 0
6114 0 0 1 2 2 0 5 0 0 0 0 0 1 0 2 0 10 0 0 0 2 0 1 1 1
6212 0 0 1 5 0 0 0 0 0 1 0 0 2 0 4 0 13 2 0 0 3 0 1 0 0
6310 0 0 1 4 0 0 2 0 0 2 0 0 0 0 5 0 14 0 0 1 5 0 3 0 0
6410 0 0 2 10 0 0 6 0 0 0 0 0 0 0 7 0 447900 1 0 0 4 0 3 0 1
6510 0 0 2 6 1 0 1 0 0 0 0 0 0 0 5 0 19 11916 0 0 3 0 21 0 0
6610 1 0 3 6 0 0 42 0 0 2 0 0 0 0 4 0 18 2 0 0 3 0 4 0 0
6710 0 0 2 2 1 0 1 149 0 1 0 0 0 0 8 0 17 0 0 0 3 0 2 0 0
6810 0 0 2 5 1 1 1 0 0 0 0 0 0 0 4 0 20 0 0 0 3 0 0 0 1
6910 3 0 4 5 1 1 0 0 0 0 0 0 20 0 159026 0 13 0 0 0 7 0 2 0 0
7010 0 0 3 6 2 0 3 0 0 0 0 0 1 0 7 0 19 0 0 0 1 0 5 0 0
7114 1 0 5 14129 0 1 0 0 0 1 0 0 0 0 5 0 28 1 0 0 6 0 1 0 0
7212 1 0 1 6 1 0 2 0 0 0 0 1 1 0 0 0 16 0 0 0 3 0 3 0 0
7310 0 0 4 3 0 1 0 0 0 0 0 0 0 0 3 0 16 1 0 0 0 0 3 0 0
7410 2 0 3 6 1 0 3 0 0 1 0 3 9379 0 1 0 20 1 0 0 2 0 4 0 0
7510 0 0 14 3 1 0 3 0 0 0 0 0 0 0 0 0 11 0 0 0 3 0 22560 0 0
7610 0 0 8 6 1 1 0 0 0 0 0 0 0 0 4 0 98 1 0 0 6 0 3 0 1
7710 2 0 4 2 0 0 0 0 1 0 0 0 1 0 4 0 15 0 0 0 3 0 18567 0 0
7810 0 0 6 12 0 0 6 0 0 0 0 0 0 0 1 0 16 1 0 0 4 0 5 0 55628
7910 1 0 3 10 0 0 1 0 0 0 1 0 2 0 4 0 32 0 0 0 7 0 5 0 1
8010 0 0 9 3 1 1 1 0 0 0 0 0 0 0 4 0 13 0 0 0 36 0 4 0 1
8114 3 0 5 7 3 0 3 0 0 0 0 1 0 0 4 0 24 0 0 0 0 0 3 0 0
8212 1 0 2 7 20128 0 0 0 0 0 0 0 0 0 2 0 15 0 0 0 3 0 3 0 0
8310 1 0 8 6 2 1 3 0 0 0 0 0 2 0 3 0 18 1 0 0 10 0 3 0 0
8410 0 0 1 3 10 1 1 0 0 2 0 0 2 0 2 0 8 0 0 0 2 0 0 0 0
8510 0 0 3 5 1 0 1 0 0 0 0 1 0 0 0 0 7 0 0 0 2 0 2 0 0
8610 1 0 4 9 0 0 2 0 0 0 0 0 0 0 1 0 12 1 0 0 5 0 4 0 1
8710 0 0 4 2 0 0 1 0 0 1 0 0 0 0 2 0 13 2 0 0 3 0 1 0 0
8810 1 0 1 3 0 0 0 0 0 1 0 0 0 0 5 0 9 1 0 0 3 0 2 0 0
8910 0 0 1 2 1 0 1 0 0 0 0 0 0 0 1 0 9 0 0 0 2 0 2 0 0
9010 0 0 5 2 2 0 2 0 0 0 0 0 1 103 4 0 17 0 0 0 3 0 1 0 1
9113 0 0 2 0 1 0 12 0 0 0 0 0 0 0 4 0 11 0 0 0 7127 0 3 0 0
9211 0 0 4 5 2 1 1 0 0 0 0 2 0 0 5 0 19 0 0 0 3 0 6 0 0
